rank,avg_ev,pred_ev,,
676,0.82,2.91,,
677,1.18,2.9,,
678,0.89,2.9,,
679,0.83,2.89,,
680,0.74,2.89,,
681,1.27,2.88,,
682,1.32,2.88,,
683,1.33,2.87,,
684,1.43,2.86,,
685,1.43,2.86,,
686,1.39,2.85,,
687,2.35,2.85,,
688,2.27,2.84,,
689,2.29,2.84,,
690,2.22,2.83,,
691,2.38,2.83,,
692,1.95,2.82,,
693,1.93,2.81,,
694,2.05,2.81,,
695,2.07,2.8,,
696,4.93,2.8,,
697,4.75,2.79,,
698,4.08,2.79,,
699,2.9,2.78,,
700,2.84,2.78,,
701,4.08,2.77,,
702,4.06,2.76,,
703,3.84,2.76,,
704,3.82,2.75,,
705,3.66,2.75,,
706,3.69,2.74,,
707,2.26,2.74,,
708,2.99,2.73,,
709,2.95,2.73,,
710,3.65,2.72,,
711,3.82,2.72,,
712,4.18,2.71,,
713,4.1,2.71,,
714,4.63,2.7,,
715,4.77,2.7,,
716,7.89,2.69,,
717,7.6,2.68,,
718,6.49,2.68,,
719,6.96,2.67,,
720,7.64,2.67,,
721,7.77,2.66,,
722,7.69,2.66,,
723,5.47,2.65,,
724,5.32,2.65,,
725,5.32,2.64,,
726,5.32,2.64,,
727,2.85,2.63,,
728,2.57,2.63,,
729,2.63,2.62,,
730,1.68,2.62,,
731,1.14,2.61,,
732,1.25,2.61,,
733,1.5,2.6,,
734,2.26,2.6,,
735,2.18,2.59,,
736,2.18,2.59,,
737,1.99,2.58,,
738,1.88,2.58,,
739,2.14,2.57,,
740,1.98,2.57,,
741,1.64,2.56,,
742,1.51,2.56,,
743,1.51,2.55,,
744,1.56,2.55,,
745,0.5,2.54,,
746,1.7,2.54,,
747,1.77,2.53,,
748,1.72,2.53,,
749,1.79,2.52,,
750,2.84,2.52,,
751,2.98,2.51,,
752,3.15,2.51,,
753,3.23,2.5,,
754,3.09,2.5,,
755,3.2,2.49,,
756,3.16,2.49,,
757,3.41,2.48,,
758,3.43,2.48,,
759,3.94,2.47,,
760,3.94,2.47,,
761,1.76,2.46,,
762,1.59,2.46,,
763,2.89,2.45,,
